Project ID;Year;Retired Credits;Issued Credits;Vintage Credits
ACR383;2017;138972,0;138972,0;138972,0
ACR385;2017;26676,0;138331,0;138331,0
ACR386;2019;423,0;48096,0;52409,0
ACR386;2020;24411,0;52600,0;52520,0
ACR386;2021;31603,0;52401,0;38088,0
ACR386;2022;66887,0;76567,0;11873,0
ACR388;2020;353503,0;181946,0;133327,0
ACR389;2020;88515,0;353785,0;35257,0
ACR390;2020;12543,0;13996,0;16643,0
ACR394;2020;15438,0;15468,0;8516,0
ACR395;2020;733874,0;826273,0;10606,0
ACR398;2019;26390,0;153475,0;308128,0
ACR398;2020;97105,0;154770,0;155288,0
ACR398;2021;38425,0;155038,0;120305,0
ACR403;2020;83996,0;11021,0;13071,0
ACR407;2022;1289,0;244391,0;244391,0
ACR407;2023;1250,0;255190,0;255190,0
ACR407;2024;7386,0;237504,0;237504,0
ACR411;2019;36604,0;36604,0;50086,0
ACR411;2022;62370,0;119923,0;65753,0
ACR416;2020;1951806,0;2683458,0;379472,0
ACR418;2020;5702,0;10442,0;10442,0
ACR424;2019;21500,0;33831,0;29853,0
ACR424;2020;20285,0;33410,0;39228,0
ACR424;2021;12456,0;39228,0;39309,0
ACR424;2022;3358,0;39228,0;29340,0
ACR425;2020;117686,0;368959,0;25235,0
ACR427;2020;742485,0;1020684,0;128390,0
ACR437;2020;159820,0;5147001,0;1030824,0
ACR441;2020;51608,0;76574,0;80296,0
ACR441;2021;23874,0;80086,0;76916,0
ACR458;2020;310849,0;304810,0;19547,0
ACR459;2020;63766,0;84546,0;85392,0
ACR459;2021;52447,0;170927,0;85922,0
ACR493;2020;34327,0;36033,0;65942,0
ACR493;2023;4476,0;79813,0;89244,0
ACR499;2020;110563,0;150215,0;163231,0
ACR499;2021;162133,0;173810,0;154044,0
ACR499;2022;40166,0;145951,0;102428,0
ACR505;2022;10000,0;49066,0;24939,0
ACR505;2023;6619,0;24813,0;10699,0
ACR506;2023;16466,0;346224,0;42954,0
ACR518;2021;66480,0;49926,0;48521,0
ACR518;2022;26440,0;49397,0;40563,0
ACR519;2021;1800,0;53556,0;57425,0
